,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-06-03,65.67,76.1,65.5,76.1,75.4453,10946050,0.0,1.0
2019-06-04,76.29,76.5,73.37,74.11,73.4724,12732865,0.0,1.0
2019-06-05,74.13,75.49,72.62,74.86,74.2159,6699899,0.0,1.0
2019-06-06,74.79,74.79,71.35,72.66,72.0349,9096283,0.0,1.0
2019-06-07,73.52,74.1,72.79,73.64,73.0064,4921432,0.0,1.0
2019-06-10,74.68,75.07,73.65,73.75,73.1155,4831161,0.0,1.0
2019-06-11,74.3,74.43,73.5315,73.73,73.0956,4867654,0.0,1.0
2019-06-12,73.51,73.855,72.5,73.46,72.828,3391167,0.0,1.0
2019-06-13,73.48,74.83,73.27,74.83,74.1862,3624733,0.0,1.0
2019-06-14,74.77,75.35,74.17,75.08,74.434,3412598,0.0,1.0
2019-06-17,74.5,75.48,74.27,74.75,74.1069,3626990,0.0,1.0
2019-06-18,74.82,75.29,74.15,74.25,73.6112,5369960,0.0,1.0
2019-06-19,74.66,74.7,72.46,72.97,72.3422,4716380,0.0,1.0
2019-06-20,73.35,75.16,73.35,74.98,74.3349,4571122,0.0,1.0
2019-06-21,75.2,76.1,74.59,74.64,73.9978,5420212,0.0,1.0
2019-06-24,74.5,75.62,73.77,74.7,74.0573,2942870,0.0,1.0
2019-06-25,74.4,74.455,73.07,74.13,73.4922,2705096,0.0,1.0
2019-06-26,74.34,74.4,73.02,73.84,73.2047,3521707,0.0,1.0
2019-06-27,74.11,74.39,73.64,73.83,73.1948,2980063,0.0,1.0
2019-06-28,73.93,75.13,73.75,75.07,74.4241,5285259,0.0,1.0
2019-07-01,74.87,77.03,74.87,75.82,75.1677,4106297,0.0,1.0
2019-07-02,75.85,75.97,74.45,74.84,74.1961,3510362,0.0,1.0
2019-07-03,74.8,74.8,72.85,74.18,73.5418,2920140,0.0,1.0
2019-07-05,73.03,73.825,72.75,73.74,73.1056,3062776,0.0,1.0
2019-07-08,73.42,73.58,71.67,72.11,71.4896,3701012,0.0,1.0
2019-07-09,71.42,71.63,69.97,70.0,69.3977,4957923,0.0,1.0
2019-07-10,70.57,70.9475,69.57,69.65,69.0508,4124255,0.0,1.0
2019-07-11,69.57,69.8,69.15,69.5,68.902,3718521,0.0,1.0
2019-07-12,69.92,71.7596,69.88,71.52,70.9047,4927263,0.0,1.0
2019-07-15,71.51,72.12,70.3,71.94,71.3211,2596790,0.0,1.0
2019-07-16,72.0,73.72,71.8,72.32,71.6978,4159533,0.0,1.0
2019-07-17,72.55,72.55,70.85,71.3,70.6866,3052799,0.0,1.0
2019-07-18,70.98,71.71,70.72,71.58,70.9641,2396852,0.0,1.0
2019-07-19,71.67,72.21,71.52,71.57,70.9542,3377167,0.0,1.0
2019-07-22,71.75,72.175,71.03,71.97,71.3508,2231092,0.0,1.0
2019-07-23,71.67,73.675,71.58,73.24,72.6099,2658636,0.0,1.0
2019-07-24,72.82,74.37,72.73,74.23,73.5913,2736823,0.0,1.0
2019-07-25,73.41,74.18,71.9567,73.15,72.5206,2972854,0.0,1.0
2019-07-26,73.0,73.47,71.57,73.21,72.5801,2336338,0.0,1.0
2019-07-29,72.88,73.41,72.33,73.09,72.4612,2347016,0.0,1.0
2019-07-30,72.06,73.44,71.6,73.4,73.0659,2175003,0.3,1.0
2019-07-31,73.27,73.8,71.54,72.16,71.8316,3344519,0.0,1.0
2019-08-01,73.2,73.56,71.03,71.69,71.3637,5324989,0.0,1.0
2019-08-02,71.4,71.5425,68.11,69.05,68.7357,4424437,0.0,1.0
2019-08-05,68.17,68.38,65.89,66.06,65.7593,4647786,0.0,1.0
2019-08-06,66.5,69.25,65.53,68.53,68.2181,7196652,0.0,1.0
2019-08-07,67.14,69.93,67.0,69.77,69.4524,4840701,0.0,1.0
2019-08-08,70.1827,71.11,69.62,70.76,70.4379,4378161,0.0,1.0
2019-08-09,70.24,70.65,68.92,69.04,68.7258,2732745,0.0,1.0
2019-08-12,68.12,69.04,67.715,67.94,67.6308,2597901,0.0,1.0
2019-08-13,68.49,70.47,67.3454,68.48,68.1683,3279421,0.0,1.0
2019-08-14,67.22,67.66,65.47,65.78,65.4806,4310889,0.0,1.0
2019-08-15,66.2,66.2,64.47,65.17,64.8734,3138804,0.0,1.0
2019-08-16,65.66,66.77,64.97,66.12,65.819,2860480,0.0,1.0
2019-08-19,66.82,67.74,66.82,67.43,67.1231,2730329,0.0,1.0
2019-08-20,67.13,67.32,66.45,67.1,66.7946,2966024,0.0,1.0
2019-08-21,67.58,68.59,67.09,67.76,67.4516,2686487,0.0,1.0
2019-08-22,68.33,68.91,67.09,67.67,67.362,3092852,0.0,1.0
2019-08-23,66.93,67.74,65.6,66.0,65.6996,4813288,0.0,1.0
2019-08-26,66.51,66.98,63.6,64.26,63.9675,5762368,0.0,1.0
2019-08-27,64.55,65.48,63.76,63.96,63.6689,4451864,0.0,1.0
2019-08-28,63.6,64.62,63.28,64.06,63.7684,6357093,0.0,1.0
2019-08-29,64.96,66.1,64.96,65.77,65.4706,2813475,0.0,1.0
2019-08-30,67.77,69.37,67.32,67.93,67.6208,3877304,0.0,1.0
2019-09-03,67.21,67.6,66.58,67.45,67.143,2220244,0.0,1.0
2019-09-04,69.0,69.0,67.97,68.48,68.1683,2206998,0.0,1.0
2019-09-05,69.24,70.1,68.9,68.94,68.6262,3368362,0.0,1.0
2019-09-06,69.28,69.51,68.31,69.22,68.9049,1812255,0.0,1.0
2019-09-09,69.39,70.85,68.91,70.51,70.1891,2791345,0.0,1.0
2019-09-10,70.89,71.96,70.64,71.4,71.075,4044932,0.0,1.0
2019-09-11,71.23,71.87,70.62,71.55,71.2243,2901150,0.0,1.0
2019-09-12,72.0,72.21,70.705,71.29,70.9655,3166041,0.0,1.0
2019-09-13,71.59,73.77,71.515,73.54,73.2053,3831481,0.0,1.0
2019-09-16,73.02,73.77,72.07,72.14,71.8116,4241082,0.0,1.0
2019-09-17,71.98,72.57,70.97,71.25,70.9257,6984008,0.0,1.0
2019-09-18,71.04,72.01,70.54,71.99,71.6623,2314742,0.0,1.0
2019-09-19,72.25,72.79,70.9,71.06,70.7366,2266563,0.0,1.0
2019-09-20,70.89,71.94,70.82,71.6,71.2741,5349827,0.0,1.0
2019-09-23,70.53,71.74,70.5,70.92,70.5972,4659688,0.0,1.0
2019-09-24,71.01,71.65,70.22,70.32,69.9999,3375949,0.0,1.0
2019-09-25,70.55,71.22,70.17,70.91,70.5872,3107483,0.0,1.0
2019-09-26,70.89,70.89,69.67,70.1,69.7809,3032386,0.0,1.0
2019-09-27,69.97,71.05,69.69,70.25,69.9302,1962309,0.0,1.0
2019-09-30,70.55,71.39,70.3,71.31,70.9854,2809173,0.0,1.0
2019-10-01,71.73,71.85,67.91,67.95,67.6407,3405694,0.0,1.0
2019-10-02,66.66,67.48,65.71,67.24,66.9339,4760525,0.0,1.0
2019-10-03,67.39,68.16,66.3,68.12,67.8099,2639496,0.0,1.0
2019-10-04,68.14,68.6,67.655,68.15,67.8398,3393410,0.0,1.0
2019-10-07,67.84,67.93,66.69,66.7,66.3964,4612818,0.0,1.0
2019-10-08,65.87,65.96,64.82,64.92,64.6245,5221127,0.0,1.0
2019-10-09,65.72,65.86,64.57,64.81,64.515,4791385,0.0,1.0
2019-10-10,64.86,64.96,62.87,63.14,62.8526,7594394,0.0,1.0
2019-10-11,63.83,65.89,63.63,65.16,64.8634,4987544,0.0,1.0
2019-10-14,64.75,65.37,64.52,64.8,64.5051,2252220,0.0,1.0
2019-10-15,64.84,66.3,64.525,65.56,65.2616,2706247,0.0,1.0
2019-10-16,65.53,67.82,65.36,66.61,66.3068,4216640,0.0,1.0
2019-10-17,66.89,67.44,66.18,66.23,65.9285,2257639,0.0,1.0
2019-10-18,66.2622,66.64,65.37,65.53,65.2317,2195302,0.0,1.0
2019-10-21,66.01,66.5221,65.6244,65.94,65.6399,2670253,0.0,1.0
2019-10-22,65.94,66.1,64.55,65.87,65.5702,3078318,0.0,1.0
2019-10-23,66.18,66.78,65.4,66.64,66.3367,3614277,0.0,1.0
2019-10-24,66.99,68.14,64.71,66.26,65.9584,4457217,0.0,1.0
2019-10-25,66.32,67.68,65.74,66.85,66.5457,2803546,0.0,1.0
2019-10-28,67.26,68.7,67.25,67.59,67.2824,4359095,0.0,1.0
2019-10-29,66.96,68.11,66.56,67.34,67.0335,3425193,0.0,1.0
2019-10-30,67.04,67.07,65.59,65.59,65.2915,4537532,0.0,1.0
2019-10-31,67.33,67.95,65.36,65.91,65.61,6400839,0.0,1.0
2019-11-01,66.5,69.78,66.4,69.64,69.323,4077816,0.0,1.0
2019-11-04,69.61,71.59,69.61,71.3,70.9755,4798903,0.0,1.0
2019-11-05,71.84,73.49,71.38,72.38,72.0506,5307755,0.0,1.0
2019-11-06,71.79,72.58,70.2,70.33,70.0099,4266725,0.0,1.0
2019-11-07,71.05,71.65,70.72,71.61,71.2841,2982815,0.0,1.0
2019-11-08,71.38,71.49,70.54,71.13,70.8062,2246020,0.0,1.0
2019-11-11,70.25,72.4,70.05,72.18,71.8515,5857489,0.0,1.0
2019-11-12,72.23,73.45,72.01,72.6,72.2695,5965702,0.0,1.0
2019-11-13,71.53,71.755,69.91,69.95,69.6316,3652951,0.0,1.0
2019-11-14,69.89,70.41,69.6,70.0,69.6814,2711632,0.0,1.0
2019-11-15,70.5,70.76,67.38,67.64,67.3321,6689169,0.0,1.0
2019-11-18,67.4,67.74,66.67,66.85,66.5457,3957458,0.0,1.0
2019-11-19,67.15,67.49,65.87,66.01,65.7095,3683697,0.0,1.0
2019-11-20,66.03,66.69,65.04,65.05,64.7539,3807939,0.0,1.0
2019-11-21,65.01,66.27,64.64,65.69,65.391,4413112,0.0,1.0
2019-11-22,65.83,66.96,65.57,65.83,65.5304,3559568,0.0,1.0
2019-11-25,66.1,66.48,65.01,65.2,64.9032,5020735,0.0,1.0
2019-11-26,65.19,66.12,64.82,65.07,64.7738,5709266,0.0,1.0
2019-11-27,64.61,65.73,64.22,65.61,65.61,7936207,0.3,1.0
2019-11-29,65.21,65.43,64.43,64.81,64.81,2067313,0.0,1.0
2019-12-02,64.77,65.73,64.6593,64.86,64.86,4511672,0.0,1.0
2019-12-03,64.2,64.2,62.49,62.57,62.57,5584289,0.0,1.0
2019-12-04,63.33,63.92,62.73,62.77,62.77,4737564,0.0,1.0
2019-12-05,63.4,63.53,61.63,61.99,61.99,5831469,0.0,1.0
2019-12-06,62.75,63.95,62.75,63.59,63.59,6531612,0.0,1.0
2019-12-09,64.01,64.88,63.72,63.84,63.84,4708406,0.0,1.0
2019-12-10,63.77,64.84,63.61,64.04,64.04,4069945,0.0,1.0
2019-12-11,64.1,64.69,63.72,64.33,64.33,3412647,0.0,1.0
2019-12-12,64.53,66.26,64.18,66.19,66.19,4433368,0.0,1.0
2019-12-13,66.4,66.73,64.6101,64.8,64.8,5083701,0.0,1.0
2019-12-16,66.31,66.59,64.62,64.89,64.89,11187560,0.0,1.0
2019-12-17,64.77,65.45,63.28,64.22,64.22,6703682,0.0,1.0
2019-12-18,64.95,64.95,63.67,63.91,63.91,4400347,0.0,1.0
2019-12-19,63.7,64.39,63.56,63.95,63.95,5107828,0.0,1.0
2019-12-20,64.23,64.39,63.41,63.55,63.55,7029799,0.0,1.0
2019-12-23,63.61,64.11,63.09,63.92,63.92,4148921,0.0,1.0
2019-12-24,63.49,63.8611,63.47,63.78,63.78,1227588,0.0,1.0
2019-12-26,63.6,63.84,63.3395,63.73,63.73,1856687,0.0,1.0
2019-12-27,63.65,64.1265,63.6,63.73,63.73,2833973,0.0,1.0
2019-12-30,63.7,64.1899,62.25,62.29,62.29,3710734,0.0,1.0
2019-12-31,62.03,64.23,62.0,64.2,64.2,5139071,0.0,1.0
2020-01-02,64.8,65.16,63.48,63.5,63.5,5967270,0.0,1.0
2020-01-03,62.75,62.95,61.88,62.16,62.16,6005292,0.0,1.0
2020-01-06,61.88,62.47,61.7,61.72,61.72,5613771,0.0,1.0
2020-01-07,61.92,61.92,60.36,60.77,60.77,9185362,0.0,1.0
2020-01-08,61.38,61.8,60.86,61.5,61.5,6361705,0.0,1.0
2020-01-09,61.46,61.79,60.87,60.95,60.95,5572279,0.0,1.0
2020-01-10,61.11,61.235,60.06,60.1625,60.1625,3197204,0.0,1.0
