Symbol,Company Name,GICS Sector,GICS Sub Industry,HQ Location,Date First Added,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,0000066740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,0000001800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,0001551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,0000815094
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,0001467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,0000718877
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/1997,0000796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,0000002488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,0001158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,0000874761
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,0000004977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,0001090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,0000002969
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,0001086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/2016,0000766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,0000915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,0001035443
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",5/25/2012,0000899866
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,0001097149
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,0001579241
AGN,"Allergan, plc",Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,0001578845
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,0001101215
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,0000352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,0000899051
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,0001652044
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,0001652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,0000764180
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,0001018724
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,0001748790
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,0001002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,0000006201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,0000004904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,0000004962
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,0000005272
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,0001053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,0001410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,0000820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,0001140859
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,0001037868
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,0000318154
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,0000820313
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,0000006281
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,0001013462
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,0001156039
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,0000315293
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,0000091142
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,0000006769
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,0000922864
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,0000320193
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,0000006951
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,0001521332
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/1981,0000007084
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",3/31/1964,0000004281
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,0001596532
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,0000354190
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",4/10/2007,0001267238
ATO,Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,0000731802
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,0000732717
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",12/1/1989,0000769397
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/1981,0000008670
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,0000866787
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/2007,0000915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/1987,0000008818
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,0001701605
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,0000009389
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,0000070858
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,0001390777
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,0000010456
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,0000010795
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,0001067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,0000764478
BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,0000875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,0001364742
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,0000012927
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,0001075531
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,0000908255
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,0001037540
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/1995,0000885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",,0000014272
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,0001730168
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,0001383312
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,0000014693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,0001043277
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,0000858470
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,0000813672
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,0000016732
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,0000927628
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/2013,0001530721
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,0000721371
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/2010,0001170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,0000815097
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,0000018230
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,0001374310
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,0001138118
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,0001402057
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,0001306830
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,0001071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,0001130310
CTL,CenturyLink Inc,Communication Services,Alternative Carriers,"Monroe, Louisiana",3/25/1999,0000018926
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,0000804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,0001324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/1997,0000316709
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,0001091667
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,0000093410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,0001058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,0000896159
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,0000313927
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,0000701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/2014,0001168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,0000020286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,0000723254
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,0000858877
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/1988,0000831001
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,0000759944
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/1999,0000877890
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/1969,0000021076
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,0001156375
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,0000811156
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,0000021344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,0001058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,0000021665
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,0001166691
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,0000028412
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,0000023217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/2016,0001358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,0001163165
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,0001047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,0000016918
COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,0000711404
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,0000900075
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,0000024741
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/2019,0001755672
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,0000909832
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",10/3/2016,0001024305
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,0001051470
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,0000277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,0000026172
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",,0000064803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,0000882184
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,0000313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,0000940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,0000927066
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,0000315189
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,0000027904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/2008,0000818479
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,0001090012
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,0001539838
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,0001297996
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,0001393612
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,0001437107
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/2014,0001437107
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,0001001082
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,0000029534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,0000935703
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,0000715957
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,0000029905
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,0001751788
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",,0000936340
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,0001326160
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,0000783280
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",,0001666700
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,0001688568
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/2004,0001015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,0000915389
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,0001551182
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,0001065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,0000031462
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,0000827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,0001099800
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,0000712515
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,0000032604
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,0000065984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,0000821189
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,0000033185
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,0001101239
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,0000906107
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,0000920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1/5/2006,0001001250
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,0001711269
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,0000072741
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,0001095073
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,0001109357
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/2007,0001324424
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,0000746515
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,0001289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,0000034088
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,0001048695
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,0001326801
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/2009,0000815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,0000034903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,0001048911
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,0001136893
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,0000035527
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,0001031296
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/2019,0001132979
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,0000798354
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",6/20/2018,0001175454
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/2009,0000354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",10/2/2008,0000030625
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,0000037785
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,0000037996
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,0001262039
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,0001659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",6/22/2016,0001519751
FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,0001308161
FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York",9/18/2015,0001308161
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,0000038777
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,0000831259
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,0000039911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,0001121788
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,0000749251
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,0000040533
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,0000040545
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,0000040704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,0001467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,0000040987
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,0000882095
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,0000320335
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,0001123360
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,0000886982
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,0000277135
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/1986,0000012659
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,0000045012
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/2015,0001359841
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,0000793952
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,0000874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,0000046080
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,0000860730
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,0000765880
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",3/1/2010,0000046765
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,0001000228
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,0000047111
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,0000004447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/2015,0001645590
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,0001585689
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,0000048039
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,0000859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,0000354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/1964,0000773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,0000048465
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,0001070750
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,0000047217
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,0000049071
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,0000049196
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,0001501585
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,0000832101
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,0000874716
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,0001598014
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,0000049826
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,0001110803
